d,o,h,l,c
1704821280,46834.0,46853.0,46834.0,46853.0
1704821340,46839.0,46842.0,46799.0,46806.0
1704821400,46788.0,46790.0,46783.0,46783.0
1704821460,46761.0,46761.0,46688.0,46690.0
1704821520,46699.0,46708.0,46689.0,46689.0
1704821580,46695.0,46727.0,46680.0,46727.0
1704821640,46688.0,46703.0,46677.0,46697.0
1704821700,46697.0,46757.0,46697.0,46729.0
1704821760,46757.0,46771.0,46718.0,46718.0
1704821820,46717.0,46745.0,46716.0,46731.0
1704821880,46731.0,46736.0,46731.0,46733.0
1704821940,46712.0,46717.0,46684.0,46714.0
1704822000,46717.0,46717.0,46684.0,46692.0
1704822060,46673.0,46675.0,46662.0,46668.0
1704822120,46669.0,46715.0,46669.0,46715.0
1704822180,46709.0,46719.0,46684.0,46703.0
1704822240,46701.0,46703.0,46684.0,46695.0
1704822300,46698.0,46718.0,46693.0,46718.0
1704822360,46756.0,46787.0,46752.0,46787.0
1704822420,46786.0,46789.0,46784.0,46789.0
1704822480,46808.0,46854.0,46776.0,46854.0
1704822540,46855.0,46895.0,46846.0,46846.0
1704822600,46842.0,46842.0,46837.0,46837.0
1704822660,46808.0,46843.0,46808.0,46817.0
1704822720,46817.0,46823.0,46783.0,46783.0
1704822780,46793.0,46828.0,46793.0,46824.0
1704822840,46830.0,46830.0,46801.0,46801.0
1704822900,46782.0,46787.0,46741.0,46760.0
1704822960,46763.0,46784.0,46763.0,46771.0
1704823020,46762.0,46783.0,46762.0,46762.0
1704823080,46770.0,46770.0,46745.0,46750.0
1704823140,46748.0,46754.0,46736.0,46744.0
1704823200,46746.0,46749.0,46698.0,46698.0
1704823260,46698.0,46698.0,46668.0,46697.0
1704823320,46730.0,46752.0,46730.0,46743.0
1704823380,46723.0,46730.0,46717.0,46723.0
1704823440,46710.0,46725.0,46692.0,46703.0
1704823500,46699.0,46699.0,46678.0,46679.0
1704823560,46683.0,46690.0,46580.0,46612.0
1704823620,46644.0,46646.0,46598.0,46609.0
1704823680,46593.0,46618.0,46564.0,46608.0
1704823740,46587.0,46617.0,46580.0,46603.0
1704823800,46609.0,46653.0,46609.0,46640.0
1704823860,46627.0,46643.0,46622.0,46643.0
1704823920,46656.0,46657.0,46623.0,46623.0
1704823980,46642.0,46643.0,46615.0,46617.0
1704824040,46615.0,46643.0,46603.0,46643.0
1704824100,46645.0,46653.0,46632.0,46653.0
1704824160,46633.0,46662.0,46633.0,46641.0
1704824220,46640.0,46640.0,46609.0,46627.0
1704824280,46596.0,46616.0,46561.0,46607.0
1704824340,46614.0,46614.0,46598.0,46610.0
1704824400,46617.0,46620.0,46587.0,46620.0
1704824460,46605.0,46656.0,46602.0,46641.0
1704824520,46658.0,46710.0,46658.0,46700.0
1704824580,46701.0,46701.0,46652.0,46652.0
1704824640,46640.0,46640.0,46607.0,46612.0
1704824700,46585.0,46638.0,46585.0,46638.0
1704824760,46662.0,46662.0,46628.0,46628.0
1704824820,46632.0,46648.0,46630.0,46630.0
1704824880,46635.0,46640.0,46619.0,46636.0
1704824940,46638.0,46647.0,46622.0,46622.0
1704825000,46622.0,46624.0,46598.0,46601.0
